Metric,Season,Player,FG%,3P%,FT%,PTS_per_MIN,Overall_Shooting%,BLK_per_GP,STL_per_GP
FT%,2006 - 2007,Matt Carroll,0.4331307,0.41573033,0.90384614,0.46267703,0.5154457,0.125,0.7361111
FT%,2018 - 2019,Danilo Gallinari,0.46266967,0.4327957,0.9039409,0.6536202,0.5637786,0.3382353,0.7205882
FT%,2015 - 2016,Jamal Crawford,0.40362087,0.3401163,0.90405905,0.52676135,0.47683397,0.15189873,0.65822786
FT%,2012 - 2013,Toney Douglas,0.40343347,0.37962964,0.9047619,0.41459626,0.45169714,0.04225352,1.0
FT%,2016 - 2017,Kyle Korver,0.46407768,0.45125347,0.9047619,0.3867435,0.47925764,0.31343284,0.5074627
FT%,2017 - 2018,Jamal Murray,0.45103577,0.37844038,0.9051383,0.52711606,0.49857223,0.34567901,0.97530866
FT%,2013 - 2014,Ray Allen,0.44198895,0.37540454,0.9051724,0.36212417,0.47623968,0.10958904,0.739726
FT%,2012 - 2013,Kevin Durant,0.5101186,0.41616768,0.90533334,0.73102695,0.61541516,1.2962962,1.4320987
FT%,2016 - 2017,Kyrie Irving,0.47253522,0.40136054,0.9054878,0.71932185,0.5230699,0.33333334,1.1527778
FT%,2010 - 2011,D.J. Augustin,0.4164927,0.33333334,0.9057239,0.42726052,0.49055415,0.036585364,0.6585366
FT%,2011 - 2012,Jodie Meeks,0.40899357,0.36466166,0.90588236,0.33826125,0.44621027,0.045454547,0.6060606
FT%,2007 - 2008,Steve Nash,0.504158,0.46981627,0.90612245,0.4931832,0.5579345,0.061728396,0.654321
FT%,2012 - 2013,Wayne Ellington,0.42722118,0.39166668,0.9066667,0.36970136,0.45971563,0.03846154,0.5769231
FT%,2019 - 2020,Chris Paul,0.48928973,0.3651316,0.90681005,0.5580721,0.54285717,0.15714286,1.5857143
